HOUSE URL,ZPID,HOME STATUS,HOUSE TYPE,PRICE($),STREET,CITY,STATE,ZIP CODE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,HOUSE SIZE (sqft),LOT SIZE,RENT ZESTIMATE
https://www.zillow.com/homedetails/1504-NW-2nd-Ave-Fort-Lauderdale-FL-33311/299146824_zpid/,299146824,,SINGLE FAMILY,"$544,000",1504 NW 2nd Avenue,Fort Lauderdale,FL,33311,4,3,2052,6750 sqft,3400
https://www.zillow.com/homedetails/803-NE-16th-Ter-Fort-Lauderdale-FL-33304/440778491_zpid/,440778491,,TOWNHOUSE,"$1,220,000",803 NE 16th Ter,Fort Lauderdale,FL,33304,3,4,2360, ,
https://www.zillow.com/homedetails/505-N-Fort-Lauderdale-Beach-Blvd-1708-Fort-Lauderdale-FL-33304/71724893_zpid/,71724893,,CONDO,"$189,000",505 N Ft Lauderdale Bch Blvd #1708,Fort Lauderdale,FL,33304,1,1,533, ,1971
https://www.zillow.com/homedetails/5801-NE-17th-Ave-Fort-Lauderdale-FL-33334/43063040_zpid/,43063040,,SINGLE FAMILY,"$569,900",5801 NE 17th Avenue,Fort Lauderdale,FL,33334,3,2,1302,7499 sqft,3812
https://www.zillow.com/homedetails/536-NW-13th-Ave-Fort-Lauderdale-FL-33311/103021833_zpid/,103021833,,SINGLE FAMILY,"$399,999",536 NW 13th Avenue,Fort Lauderdale,FL,33311,3,3,1623,3955 sqft,3035
https://www.zillow.com/homedetails/1625-SW-30th-Ave-Fort-Lauderdale-FL-33312/43214808_zpid/,43214808,,SINGLE FAMILY,"$379,000",1625 SW 30th Ave,Fort Lauderdale,FL,33312,4,3,2068,8102.16 sqft,3860
https://www.zillow.com/homedetails/1512-NE-18th-Ave-Fort-Lauderdale-FL-33304/43103360_zpid/,43103360,,SINGLE FAMILY,"$1,250,000",1512 NE 18th Ave,Fort Lauderdale,FL,33304,3,2,1690,9618.048 sqft,5348
https://www.zillow.com/homedetails/2670-E-Sunrise-Blvd-301-Fort-Lauderdale-FL-33304/299148690_zpid/,299148690,,CONDO,"$139,900",2670 E Sunrise Blvd #301,Fort Lauderdale,FL,33304,1,1,636, ,
https://www.zillow.com/homedetails/5521-SW-24th-Ave-Fort-Lauderdale-FL-33312/43222534_zpid/,43222534,,SINGLE FAMILY,"$499,026",5521 SW 24th Ave,Fort Lauderdale,FL,33312,3,2,1138,3897 sqft,2962
https://www.zillow.com/homedetails/4556-NW-16th-Way-Fort-Lauderdale-FL-33309/43074288_zpid/,43074288,,SINGLE FAMILY,"$379,900",4556 NW 16th Way,Fort Lauderdale,FL,33309,3,2,1028,4081.572 sqft,3332
https://www.zillow.com/homedetails/2647-NE-27th-Ave-Fort-Lauderdale-FL-33306/43086733_zpid/,43086733,,SINGLE FAMILY,"$1,499,999",2647 NE 27th Ave,Fort Lauderdale,FL,33306,4,4,2069,10525 sqft,7471
https://www.zillow.com/homedetails/3001-SW-18th-Ter-LOT-130-Fort-Lauderdale-FL-33315/449403144_zpid/,449403144,,MANUFACTURED,"$115,999",3001 SW 18th Ter LOT 130,Fort Lauderdale,FL,33315,3,2,1100, ,
https://www.zillow.com/homedetails/2221-NE-68th-St-APT-922-Fort-Lauderdale-FL-33308/43066251_zpid/,43066251,,CONDO,"$189,000",2221 NE 68th Street #922,Fort Lauderdale,FL,33308,2,2,875, ,1974
https://www.zillow.com/homedetails/2779-NW-9th-Pl-Fort-Lauderdale-FL-33311/43196222_zpid/,43196222,,SINGLE FAMILY,"$375,000",2779 NW 9th Pl,Fort Lauderdale,FL,33311,4,3,1112,5502 sqft,3375
https://www.zillow.com/homedetails/410-SW-31st-Ave-Fort-Lauderdale-FL-33312/43202009_zpid/,43202009,,SINGLE FAMILY,"$509,997",410 SW 31st Ave,Fort Lauderdale,FL,33312,4,2,1827,6911 sqft,
https://www.zillow.com/homedetails/3000-Holiday-Dr-APT-1102-Fort-Lauderdale-FL-33316/43208884_zpid/,43208884,,CONDO,"$495,000",3000 Holiday Dr APT 1102,Fort Lauderdale,FL,33316,1,2,1179, ,3280
https://www.zillow.com/homedetails/2841-N-Ocean-Blvd-APT-307-Fort-Lauderdale-FL-33308/43124463_zpid/,43124463,,CONDO,"$249,900",2841 N Ocean Boulevard #307,Fort Lauderdale,FL,33308,2,2,1100, ,3067
https://www.zillow.com/homedetails/2081-NE-56th-St-APT-207-Fort-Lauderdale-FL-33308/43068129_zpid/,43068129,,CONDO,"$149,999",2081 NE 56th Street #207,Fort Lauderdale,FL,33308,1,1,600, ,
https://www.zillow.com/homedetails/3233-NE-34th-St-APT-1419-Fort-Lauderdale-FL-33308/43122746_zpid/,43122746,,CONDO,"$320,000",3233 NE 34th St #1419,Fort Lauderdale,FL,33308,2,2,1350, ,3781
https://www.zillow.com/homedetails/2727-Treasure-Cove-Cir-2727-Fort-Lauderdale-FL-33312/2077448345_zpid/,2077448345,,TOWNHOUSE,"$799,000",2727 Treasure Cove Cir #2727,Fort Lauderdale,FL,33312,5,3,2042, ,4511
https://www.zillow.com/homedetails/2670-E-Sunrise-Blvd-1030-Fort-Lauderdale-FL-33304/299148847_zpid/,299148847,,CONDO,"$146,000",2670 E Sunrise Blvd #1030,Fort Lauderdale,FL,33304,1,1,548, ,2358
https://www.zillow.com/homedetails/2151-NE-68th-St-APT-231-Fort-Lauderdale-FL-33308/43066092_zpid/,43066092,,CONDO,"$199,999",2151 NE 68th St #231,Fort Lauderdale,FL,33308,2,2,875, ,1970
https://www.zillow.com/homedetails/2536-NW-15th-St-Fort-Lauderdale-FL-33311/102956453_zpid/,102956453,,SINGLE FAMILY,"$600,000",2536 NW 15th St,Fort Lauderdale,FL,33311,4,2,,5100 sqft,
https://www.zillow.com/homedetails/2670-E-Sunrise-Blvd-1209-Fort-Lauderdale-FL-33304/299148874_zpid/,299148874,,CONDO,"$211,000",2670 E Sunrise Blvd #1209,Fort Lauderdale,FL,33304,2,2,836, ,3186
https://www.zillow.com/homedetails/4917-SW-43rd-Ter-Fort-Lauderdale-FL-33314/43189819_zpid/,43189819,,SINGLE FAMILY,"$399,900",4917 SW 43rd Ter,Fort Lauderdale,FL,33314,5,3,975,6000 sqft,
https://www.zillow.com/homedetails/2609-SW-13th-Pl-Fort-Lauderdale-FL-33312/43214970_zpid/,43214970,,SINGLE FAMILY,"$509,000",2609 SW 13th Pl,Fort Lauderdale,FL,33312,4,2,1511,6500 sqft,3409
