HOUSE URL,ZPID,HOME STATUS,HOUSE TYPE,PRICE($),STREET,CITY,STATE,ZIP CODE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,HOUSE SIZE (sqft),LOT SIZE,RENT ZESTIMATE
https://www.zillow.com/homedetails/5934-Miller-Valley-Dr-Houston-TX-77066/28150253_zpid/,28150253,,SINGLE FAMILY,"$250,000",5934 Miller Valley Dr,Houston,TX,77066,4,3,2312,9134 sqft,2159
https://www.zillow.com/homedetails/10534-Twilight-Moon-Dr-Houston-TX-77064/28308613_zpid/,28308613,,SINGLE FAMILY,"$279,000",10534 Twilight Moon Dr,Houston,TX,77064,3,2,1650,7000.092 sqft,1862
https://www.zillow.com/homedetails/10521-Cathedral-Dr-Houston-TX-77051/28005745_zpid/,28005745,,SINGLE FAMILY,"$185,900",10521 Cathedral Dr,Houston,TX,77051,4,2,1368,5606.172 sqft,1389
https://www.zillow.com/homedetails/2215-Riverlawn-Dr-Humble-TX-77339/28226080_zpid/,28226080,,SINGLE FAMILY,"$169,950",2215 Riverlawn Dr,Humble,TX,77339,4,3,2366,9679.032 sqft,2199
https://www.zillow.com/homedetails/3519-Barkers-Run-Dr-Houston-TX-77084/251269407_zpid/,251269407,,SINGLE FAMILY,"$339,700",3519 Barkers Run Dr,Houston,TX,77084,5,3,2671,6276.996 sqft,2622
https://www.zillow.com/homedetails/5962-Van-Fleet-St-Houston-TX-77033/27968183_zpid/,27968183,,SINGLE FAMILY,"$120,000",5962 Van Fleet St,Houston,TX,77033,4,2,1104,8908.02 sqft,1704
https://www.zillow.com/homedetails/5631-Rocky-Brook-Dr-Kingwood-TX-77345/28417109_zpid/,28417109,,SINGLE FAMILY,"$350,000",5631 Rocky Brook Dr,Kingwood,TX,77345,5,4,3098,10680.912 sqft,3953
https://www.zillow.com/homedetails/4303-Appalachian-Trl-Kingwood-TX-77345/28483057_zpid/,28483057,,SINGLE FAMILY,"$269,900",4303 Appalachian Trl,Kingwood,TX,77345,4,3,2059,5174.928 sqft,2334
https://www.zillow.com/homedetails/10030-Storm-Meadow-Dr-Houston-TX-77064/28452043_zpid/,28452043,,SINGLE FAMILY,"$299,957",10030 Storm Meadow Dr,Houston,TX,77064,4,3,2366,5776.056 sqft,2268
https://www.zillow.com/homedetails/3818-Gladeridge-Dr-Houston-TX-77068/28168769_zpid/,28168769,,SINGLE FAMILY,"$378,000",3818 Gladeridge Dr,Houston,TX,77068,4,3,3068,0.29200000000000004 acres,2485
https://www.zillow.com/homedetails/8207-Lanham-Ln-Houston-TX-77075/27961968_zpid/,27961968,,SINGLE FAMILY,"$278,000",8207 Lanham Ln,Houston,TX,77075,4,2,1569,9896.832 sqft,2270
https://www.zillow.com/homedetails/2411-Riverlawn-Dr-Humble-TX-77339/28230683_zpid/,28230683,,SINGLE FAMILY,"$374,900",2411 Riverlawn Dr,Humble,TX,77339,5,4,2930,10589.436 sqft,2749
https://www.zillow.com/homedetails/12223-Paddock-Way-Houston-TX-77065/28406965_zpid/,28406965,,SINGLE FAMILY,"$328,000",12223 Paddock Way,Houston,TX,77065,3,3,1693,8925.444 sqft,2371
https://www.zillow.com/homedetails/15511-Rana-Ct-Houston-TX-77068/28269887_zpid/,28269887,,SINGLE FAMILY,"$395,000",15511 Rana Ct,Houston,TX,77068,5,4,3176,8468.064 sqft,3179
https://www.zillow.com/homedetails/718-W-42nd-St-Houston-TX-77018/27873285_zpid/,27873285,,SINGLE FAMILY,"$849,000",718 W 42nd St,Houston,TX,77018,3,2,2062,0.3157 acres,3784
https://www.zillow.com/homedetails/3239-Pleasant-Cove-Ct-Houston-TX-77059/28539041_zpid/,28539041,,SINGLE FAMILY,"$415,000",3239 Pleasant Cove Ct,Houston,TX,77059,4,3,2638,10249.668 sqft,3362
https://www.zillow.com/homedetails/15050-Pearhaven-Dr-Houston-TX-77062/28249657_zpid/,28249657,,SINGLE FAMILY,"$385,000",15050 Pearhaven Dr,Houston,TX,77062,4,2,2615,9922.968 sqft,2695
https://www.zillow.com/homedetails/311-Mascot-St-Houston-TX-77029/453891834_zpid/,453891834,,SINGLE FAMILY,"$279,900",311 Mascot St,Houston,TX,77029,4,3,1689,5000.688 sqft,
https://www.zillow.com/homedetails/10015-Windriver-Dr-Houston-TX-77070/28188414_zpid/,28188414,,SINGLE FAMILY,"$295,000",10015 Windriver Dr,Houston,TX,77070,4,2,1918,8237.196 sqft,2464
https://www.zillow.com/homedetails/8014-Wray-Ct-Houston-TX-77088/28164905_zpid/,28164905,,SINGLE FAMILY,"$339,900",8014 Wray Ct,Houston,TX,77088,5,3,2957,9448.164 sqft,2914
https://www.zillow.com/homedetails/5411-Holly-View-Dr-Houston-TX-77091/28337060_zpid/,28337060,,SINGLE FAMILY,"$390,000",5411 Holly View Dr,Houston,TX,77091,4,3,2596,8398.368 sqft,2696
https://www.zillow.com/homedetails/15715-Holloway-Creek-Ct-Houston-TX-77044/329224464_zpid/,329224464,,SINGLE FAMILY,"$399,900",15715 Holloway Creek Ct,Houston,TX,77044,3,2,2252,7631.712 sqft,3279
https://www.zillow.com/homedetails/3505-Cobb-St-Houston-TX-77004/97660024_zpid/,97660024,,SINGLE FAMILY,"$428,899",3505 Cobb St,Houston,TX,77004,3,2,1604,3798.432 sqft,2172
https://www.zillow.com/homedetails/12122-Oakcroft-Dr-Houston-TX-77070/28333668_zpid/,28333668,,SINGLE FAMILY,"$339,000",12122 Oakcroft Dr,Houston,TX,77070,3,4,2581,8598.744 sqft,2444
https://www.zillow.com/homedetails/14814-Bramblewood-Dr-Houston-TX-77079/28124675_zpid/,28124675,,SINGLE FAMILY,"$899,000",14814 Bramblewood Dr,Houston,TX,77079,4,3,2752,7880.004 sqft,3636
https://www.zillow.com/homedetails/8115-Fondren-Lake-Dr-Houston-TX-77071/28403860_zpid/,28403860,,SINGLE FAMILY,"$445,000",8115 Fondren Lake Dr,Houston,TX,77071,5,4,4900,9679.032 sqft,4628
https://www.zillow.com/homedetails/1526-Sweet-Grass-Trl-Houston-TX-77090/28155951_zpid/,28155951,,SINGLE FAMILY,"$470,000",1526 Sweet Grass Trl,Houston,TX,77090,5,5,4224,0.4362 acres,3384
https://www.zillow.com/homedetails/6718-Utah-St-Houston-TX-77091/452645285_zpid/,452645285,,SINGLE FAMILY,"$228,000",6718 Utah St,Houston,TX,77091,4,3,2349,5998.212 sqft,
https://www.zillow.com/homedetails/5310-Oak-Cove-Dr-Houston-TX-77091/28337077_zpid/,28337077,,SINGLE FAMILY,"$349,990",5310 Oak Cove Dr,Houston,TX,77091,3,3,2552,8398.368 sqft,3016
https://www.zillow.com/homedetails/12102-Moorcreek-Dr-Houston-TX-77070/28357615_zpid/,28357615,,SINGLE FAMILY,"$449,000",12102 Moorcreek Dr,Houston,TX,77070,4,4,3642,9600.624 sqft,3138
https://www.zillow.com/homedetails/14410-Brentshire-Ln-Houston-TX-77069/84062615_zpid/,84062615,,SINGLE FAMILY,"$549,000",14410 Brentshire Ln,Houston,TX,77069,5,4,4338,0.2738 acres,3529
https://www.zillow.com/homedetails/17235-Sunshine-St-Houston-TX-77049/28147784_zpid/,28147784,,SINGLE FAMILY,"$129,000",17235 Sunshine St,Houston,TX,77049,4,2,1580,0.3052 acres,1700
https://www.zillow.com/homedetails/21143-Bastide-Ln-Kingwood-TX-77339/126240110_zpid/,126240110,,SINGLE FAMILY,"$398,000",21143 Bastide Ln,Kingwood,TX,77339,4,4,3119,6067.908 sqft,2812
https://www.zillow.com/homedetails/4502-Tall-Ridge-Ct-Kingwood-TX-77345/28503300_zpid/,28503300,,SINGLE FAMILY,"$599,000",4502 Tall Ridge Ct,Kingwood,TX,77345,4,4,3368,10863.864 sqft,3665
https://www.zillow.com/homedetails/5779-Easthampton-Dr-C-Houston-TX-77039/28207918_zpid/,28207918,,TOWNHOUSE,"$125,000",5779 Easthampton Dr #C,Houston,TX,77039,3,2,1623,1755.468 sqft,1556
https://www.zillow.com/homedetails/15618-Banty-Falls-Ct-Houston-TX-77068/28239125_zpid/,28239125,,SINGLE FAMILY,"$515,000",15618 Banty Falls Ct,Houston,TX,77068,5,4,4441,10201.752 sqft,5263
https://www.zillow.com/homedetails/6607-Apollo-Houston-TX-77091/452649960_zpid/,452649960,,SINGLE FAMILY,"$228,000",6607 Apollo,Houston,TX,77091,4,3,1645, ,
https://www.zillow.com/homedetails/104-7700-Creekbend-Dr-104-Houston-TX-77071/455286026_zpid/,455286026,,CONDO,"$159,000",104-7700 Creekbend Dr #104,Houston,TX,77071,3,3,500,0.3 acres,
https://www.zillow.com/homedetails/8110-Dorrcrest-Ln-Houston-TX-77070/28163168_zpid/,28163168,,SINGLE FAMILY,"$315,000",8110 Dorrcrest Ln,Houston,TX,77070,5,3,2586,9748.728 sqft,2410
https://www.zillow.com/homedetails/7974-Fowlie-St-Houston-TX-77028/452599055_zpid/,452599055,,SINGLE FAMILY,"$228,000",7974 Fowlie St,Houston,TX,77028,3,3,2008,4199.184 sqft,
https://www.zillow.com/homedetails/1003-Romaine-Ln-Houston-TX-77090/28160124_zpid/,28160124,,SINGLE FAMILY,"$290,000",1003 Romaine Ln,Houston,TX,77090,5,3,2973,0.3297 acres,2432
https://www.zillow.com/homedetails/3831-Wood-Stone-Walk-Dr-Houston-TX-77084/28376512_zpid/,28376512,,SINGLE FAMILY,"$320,000",3831 Wood Stone Walk Dr,Houston,TX,77084,3,2,1943,7740.612 sqft,2218
https://www.zillow.com/homedetails/6727-Utah-St-Houston-TX-77091/452645305_zpid/,452645305,,SINGLE FAMILY,"$228,000",6727 Utah St,Houston,TX,77091,3,3,2008,3998.808 sqft,
https://www.zillow.com/homedetails/2226-Rolling-Meadows-Dr-Humble-TX-77339/28226019_zpid/,28226019,,SINGLE FAMILY,"$315,000",2226 Rolling Meadows Dr,Humble,TX,77339,4,3,2436,9718 sqft,2221
https://www.zillow.com/homedetails/5343-Oak-Cove-Dr-Houston-TX-77091/80321186_zpid/,80321186,,SINGLE FAMILY,"$365,000",5343 Oak Cove Dr,Houston,TX,77091,3,3,2740,9239.076 sqft,2350
https://www.zillow.com/homedetails/414-N-Carolina-St-A-B-Houston-TX-77029/450143125_zpid/,450143125,,MULTI FAMILY,"$375,000",414 N Carolina St #A/B,Houston,TX,77029,3,2,2310,2500.344 sqft,
https://www.zillow.com/homedetails/16515-Willingham-Way-Houston-TX-77095/28485640_zpid/,28485640,,SINGLE FAMILY,"$320,000",16515 Willingham Way,Houston,TX,77095,4,3,2292,6664.68 sqft,2302
https://www.zillow.com/homedetails/16935-Creek-Mountain-Dr-Houston-TX-77084/118404179_zpid/,118404179,,SINGLE FAMILY,"$255,000",16935 Creek Mountain Dr,Houston,TX,77084,3,3,1635,5501.628 sqft,1880
https://www.zillow.com/homedetails/13214-Barrow-Point-Ln-Houston-TX-77014/84025619_zpid/,84025619,,SINGLE FAMILY,"$175,500",13214 Barrow Point Ln,Houston,TX,77014,4,3,2342,6155.028 sqft,2353
https://www.zillow.com/homedetails/3832-W-Clay-St-Houston-TX-77019/27805234_zpid/,27805234,,TOWNHOUSE,"$267,500",3832 W Clay St,Houston,TX,77019,2,3,1351,1446.192 sqft,2258
