HOUSE URL,ZPID,HOME STATUS,HOUSE TYPE,PRICE($),STREET,CITY,STATE,ZIP CODE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,HOUSE SIZE (sqft),LOT SIZE,RENT ZESTIMATE
https://www.zillow.com/homedetails/8191-Nekton-Ln-Indianapolis-IN-46236/1160312_zpid/,1160312,,CONDO,"$235,000",8191 Nekton Ln,Indianapolis,IN,46236,2,2,1324,2178 sqft,
https://www.zillow.com/homedetails/1130-N-Keystone-Ave-Indianapolis-IN-46201/1106936_zpid/,1106936,,SINGLE FAMILY,"$759,900",1130 N Keystone Ave,Indianapolis,IN,46201,4,5,3558,6534 sqft,
https://www.zillow.com/homedetails/6239-Bramshaw-Rd-Indianapolis-IN-46220/1266786_zpid/,1266786,,SINGLE FAMILY,"$350,000",6239 Bramshaw Rd,Indianapolis,IN,46220,4,3,3262,0.54 acres,2686
https://www.zillow.com/homedetails/2822-E-19th-St-Indianapolis-IN-46218/1074988_zpid/,1074988,,SINGLE FAMILY,"$154,900",2822 E 19th St,Indianapolis,IN,46218,3,2,1946,3484.8 sqft,1649
https://www.zillow.com/homedetails/1429-E-Banta-Rd-Indianapolis-IN-46227/1170343_zpid/,1170343,,SINGLE FAMILY,"$399,000",1429 E Banta Rd,Indianapolis,IN,46227,2,3,2604,0.32 acres,
https://www.zillow.com/homedetails/7231-Wooden-Grange-Dr-Indianapolis-IN-46259/308925184_zpid/,308925184,,SINGLE FAMILY,"$425,000",7231 Wooden Grange Dr,Indianapolis,IN,46259,3,3,2335,7840.8 sqft,
https://www.zillow.com/homedetails/6622-Stanley-Rd-Camby-IN-46113/1124549_zpid/,1124549,,SINGLE FAMILY,"$237,500",6622 Stanley Rd,Camby,IN,46113,5,3,2410,0.4 acres,
https://www.zillow.com/homedetails/3118-E-Fall-Creek-Pkwy-N-Indianapolis-IN-46205/455216530_zpid/,455216530,,SINGLE FAMILY,"$649,900",3118 E Fall Creek Pkwy N,Indianapolis,IN,46205,3,4,3356,0.27 acres,
https://www.zillow.com/homedetails/8808-Skippers-Way-Indianapolis-IN-46256/1154717_zpid/,1154717,,SINGLE FAMILY,"$514,900",8808 Skippers Way,Indianapolis,IN,46256,4,4,3615,0.36 acres,
https://www.zillow.com/homedetails/2050-N-Alabama-St-Indianapolis-IN-46202/1087533_zpid/,1087533,,SINGLE FAMILY,"$1,200,000",2050 N Alabama St,Indianapolis,IN,46202,5,5,5606,6098.4 sqft,
