HOUSE URL,ZPID,HOME STATUS,HOUSE TYPE,PRICE($),STREET,CITY,STATE,ZIP CODE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,HOUSE SIZE (sqft),LOT SIZE,RENT ZESTIMATE
https://www.zillow.com/homedetails/10621-Oak-Crest-Dr-Jacksonville-FL-32225/83004457_zpid/,83004457,,SINGLE FAMILY,"$260,000",10621 OAK CREST Drive,Jacksonville,FL,32225,3,2,1169,8712 sqft,
https://www.zillow.com/homedetails/11061-Frisco-Ln-Jacksonville-FL-32257/44564599_zpid/,44564599,,SINGLE FAMILY,"$550,000",11061 FRISCO Lane,Jacksonville,FL,32257,4,3,3048,9583.2 sqft,3460
https://www.zillow.com/homedetails/12274-Franklin-Brook-Ln-S-Jacksonville-FL-32225/44591150_zpid/,44591150,,SINGLE FAMILY,"$406,999",12274 FRANKLIN BROOK Lane,Jacksonville,FL,32225,3,2,2240,0.39 acres,2676
https://www.zillow.com/homedetails/1808-Grassington-Way-N-Jacksonville-FL-32223/44506690_zpid/,44506690,,SINGLE FAMILY,"$539,000",1808 GRASSINGTON Way N,Jacksonville,FL,32223,5,4,2550,0.38 acres,3043
https://www.zillow.com/homedetails/5033-Lexington-Ave-Jacksonville-FL-32210/44474950_zpid/,44474950,,SINGLE FAMILY,"$179,500",5033 LEXINGTON Avenue,Jacksonville,FL,32210,2,1,1166,7840.8 sqft,1435
https://www.zillow.com/homedetails/7961-Evening-Flower-Ln-Jacksonville-FL-32244/44428175_zpid/,44428175,,SINGLE FAMILY,"$252,000",7961 EVENING FLOWER Lane,Jacksonville,FL,32244,3,2,1160,7405.2 sqft,1673
https://www.zillow.com/homedetails/2842-Lucoma-Dr-Jacksonville-FL-32254/44483944_zpid/,44483944,,SINGLE FAMILY,"$130,000",2842 Lucoma Drive,Jacksonville,FL,32254,3,1,924,5194 sqft,1307
https://www.zillow.com/homedetails/6511-Ginnie-Springs-Rd-Jacksonville-FL-32258/82992468_zpid/,82992468,,SINGLE FAMILY,"$499,000",6511 GINNIE SPRINGS Road,Jacksonville,FL,32258,5,3,2200,8712 sqft,3537
https://www.zillow.com/homedetails/2535-Hazel-Dr-Jacksonville-FL-32216/44537503_zpid/,44537503,,SINGLE FAMILY,"$309,000",2535 HAZEL Drive,Jacksonville,FL,32216,4,2,1638,0.26 acres,2249
https://www.zillow.com/homedetails/11125-Saddle-Club-Dr-Jacksonville-FL-32219/102990397_zpid/,102990397,,SINGLE FAMILY,"$595,000",11125 SADDLE CLUB Drive,Jacksonville,FL,32219,5,3,2823,1.56 acres,2862
https://www.zillow.com/homedetails/3424-Stuart-St-Jacksonville-FL-32209/44484353_zpid/,44484353,,SINGLE FAMILY,"$129,900",3424 STUART Street,Jacksonville,FL,32209,3,1,1102,4791.6 sqft,1144
https://www.zillow.com/homedetails/8550-Argyle-Business-Loop-UNIT-1507-Jacksonville-FL-32244/82048037_zpid/,82048037,,CONDO,"$205,000",8550 ARGYLE BUSINESS Loop #1507,Jacksonville,FL,32244,3,3,1486,435.6 sqft,1631
https://www.zillow.com/homedetails/11896-Ashbrook-Cir-S-Jacksonville-FL-32225/44585790_zpid/,44585790,,SINGLE FAMILY,"$226,000",11896 ASHBROOK Circle,Jacksonville,FL,32225,3,2,1323,10454.4 sqft,2035
https://www.zillow.com/homedetails/5419-S-River-Rd-Jacksonville-FL-32211/44530444_zpid/,44530444,,SINGLE FAMILY,"$295,999",5419 S RIVER Road,Jacksonville,FL,32211,3,2,1180, ,1791
https://www.zillow.com/homedetails/2180-Mareeba-Rd-E-Jacksonville-FL-32246/44595707_zpid/,44595707,,SINGLE FAMILY,"$190,000",2180 MAREEBA Road E,Jacksonville,FL,32246,3,2,1184,6098.4 sqft,1872
https://www.zillow.com/homedetails/2956-Bright-Eagle-Dr-Jacksonville-FL-32226/82983211_zpid/,82983211,,SINGLE FAMILY,"$440,000",2956 BRIGHT EAGLE Drive,Jacksonville,FL,32226,5,3,2666,0.36 acres,2579
https://www.zillow.com/homedetails/15625-Shark-Rd-W-Jacksonville-FL-32226/44580795_zpid/,44580795,,SINGLE FAMILY,"$540,000",15625 SHARK Road W,Jacksonville,FL,32226,3,3,2068,2.07 acres,2561
https://www.zillow.com/homedetails/6310-Harlow-Blvd-Jacksonville-FL-32210/252229233_zpid/,252229233,,SINGLE FAMILY,"$299,000",6310 HARLOW Boulevard,Jacksonville,FL,32210,4,3,1764,8276.4 sqft,2120
https://www.zillow.com/homedetails/10559-Rocky-Garden-Ln-Jacksonville-FL-32257/44565709_zpid/,44565709,,SINGLE FAMILY,"$265,000",10559 ROCKY GARDEN Lane,Jacksonville,FL,32257,3,2,1614,10454.4 sqft,1978
https://www.zillow.com/homedetails/1900-Dalamon-St-Jacksonville-FL-32211/44525141_zpid/,44525141,,SINGLE FAMILY,"$365,000",1900 DALAMON Street,Jacksonville,FL,32211,4,3,1776,0.25 acres,2342
https://www.zillow.com/homedetails/1020-Candlebark-Dr-Jacksonville-FL-32225/82992689_zpid/,82992689,,SINGLE FAMILY,"$464,900",1020 CANDLEBARK Drive,Jacksonville,FL,32225,4,3,2701,8712 sqft,2765
https://www.zillow.com/homedetails/9671-Old-Plank-Rd-Jacksonville-FL-32220/44408812_zpid/,44408812,,SINGLE FAMILY,"$249,900",9671 OLD PLANK Road,Jacksonville,FL,32220,3,2,1206,6.77 acres,1625
https://www.zillow.com/homedetails/9039-Berens-St-Jacksonville-FL-32210/44417990_zpid/,44417990,,SINGLE FAMILY,"$180,000",9039 BERENS Street,Jacksonville,FL,32210,4,2,1974,8712 sqft,2105
https://www.zillow.com/homedetails/2805-Post-St-Jacksonville-FL-32205/44471430_zpid/,44471430,,SINGLE FAMILY,"$225,000",2805 POST Street,Jacksonville,FL,32205,3,1,1144,4356 sqft,1858
