HOUSE URL,ZPID,HOME STATUS,HOUSE TYPE,PRICE($),STREET,CITY,STATE,ZIP CODE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,HOUSE SIZE (sqft),LOT SIZE,RENT ZESTIMATE
https://www.zillow.com/homedetails/20235-SW-129th-Ave-Miami-FL-33177/62932689_zpid/,62932689,,SINGLE FAMILY,"$945,000",20235 SW 129th Ave,Miami,FL,33177,5,4,2598,7597 sqft,4464
https://www.zillow.com/homedetails/7315-SW-39th-Ter-Miami-FL-33155/44190209_zpid/,44190209,,SINGLE FAMILY,"$699,000",7315 SW 39th Ter,Miami,FL,33155,3,1,1222,7501.032 sqft,3636
https://www.zillow.com/homedetails/10761-SW-149th-St-Miami-FL-33176/44288949_zpid/,44288949,,SINGLE FAMILY,"$474,999",10761 SW 149th St,Miami,FL,33176,3,2,1073,7875.648 sqft,
https://www.zillow.com/homedetails/14234-SW-49th-St-Miami-FL-33175/44248969_zpid/,44248969,,SINGLE FAMILY,"$650,000",14234 SW 49th St,Miami,FL,33175,3,2,1432,5000 sqft,3278
https://www.zillow.com/homedetails/2919-Coconut-Ave-APT-1-Miami-FL-33133/64634733_zpid/,64634733,,TOWNHOUSE,"$925,000",2919 Coconut Ave APT 1,Miami,FL,33133,2,3,1050, ,3790
https://www.zillow.com/homedetails/6911-SW-83rd-Ct-Miami-FL-33143/44209864_zpid/,44209864,,SINGLE FAMILY,"$875,000",6911 SW 83rd Ct,Miami,FL,33143,3,2,1558,6499.152 sqft,5972
https://www.zillow.com/homedetails/2928-SW-4th-St-Miami-FL-33135/2064111680_zpid/,2064111680,,MULTI FAMILY,"$574,900",2928 SW 4th St,Miami,FL,33135,6,3,2148, ,4799
https://www.zillow.com/homedetails/12754-SW-230th-St-Miami-FL-33170/338741027_zpid/,338741027,,TOWNHOUSE,"$450,000",12754 SW 230th St,Miami,FL,33170,3,3,1804, ,3054
https://www.zillow.com/homedetails/11450-SW-60th-Ln-Miami-FL-33173/44215059_zpid/,44215059,,SINGLE FAMILY,"$599,999",11450 SW 60th Ln,Miami,FL,33173,3,2,1201,4310 sqft,
https://www.zillow.com/homedetails/4260-SW-149th-Ct-Miami-FL-33185/44245666_zpid/,44245666,,SINGLE FAMILY,"$875,000",4260 SW 149th Ct,Miami,FL,33185,4,4,2216,7774 sqft,5196
https://www.zillow.com/homedetails/950-Brickell-Bay-Dr-APT-5205-Miami-FL-33131/92440846_zpid/,92440846,,CONDO,"$950,000",950 Brickell Bay Dr #5205,Miami,FL,33131,2,2,1101, ,4595
https://www.zillow.com/homedetails/12950-SW-149th-St-Miami-FL-33186/44330750_zpid/,44330750,,SINGLE FAMILY,"$890,000",12950 SW 149th St,Miami,FL,33186,4,3,2733,7500 sqft,
https://www.zillow.com/homedetails/12217-SW-203rd-Ter-Miami-FL-33177/44364165_zpid/,44364165,,SINGLE FAMILY,"$399,999",12217 SW 203rd Ter,Miami,FL,33177,3,1,1050,2380 sqft,
https://www.zillow.com/homedetails/13940-SW-74th-St-Miami-FL-33183/44269282_zpid/,44269282,,SINGLE FAMILY,"$1,149,000",13940 SW 74th St,Miami,FL,33183,4,3,1881,0.2731864095500459 acres,
https://www.zillow.com/homedetails/6639-SW-116th-Pl-F1-Miami-FL-33173/44214170_zpid/,44214170,,TOWNHOUSE,"$370,000",6639 SW 116th Pl #F1,Miami,FL,33173,3,2,1550, ,
https://www.zillow.com/homedetails/6007-SW-69th-St-74-South-Miami-FL-33143/43999066_zpid/,43999066,,TOWNHOUSE,"$289,989",6007 SW 69th St #74,South Miami,FL,33143,3,2,970, ,2607
https://www.zillow.com/homedetails/14834-SW-140th-St-Miami-FL-33196/44328015_zpid/,44328015,,SINGLE FAMILY,"$795,000",14834 SW 140th St,Miami,FL,33196,4,4,2457,5000 sqft,
https://www.zillow.com/homedetails/10850-SW-61st-St-Miami-FL-33173/162030974_zpid/,162030974,,SINGLE FAMILY,"$765,000",10850 SW 61st St,Miami,FL,33173,3,2,1800,7550 sqft,
https://www.zillow.com/homedetails/4400-SW-89th-Ave-Miami-FL-33165/44205097_zpid/,44205097,,SINGLE FAMILY,"$825,000",4400 SW 89th Ave,Miami,FL,33165,3,2,1578,8000 sqft,
https://www.zillow.com/homedetails/2937-SW-21st-St-Miami-FL-33145/43848843_zpid/,43848843,,TOWNHOUSE,"$1,590,000",2937 SW 21st St,Miami,FL,33145,4,5,2620, ,2299
https://www.zillow.com/homedetails/244-Biscayne-Blvd-APT-645-Miami-FL-33132/92439758_zpid/,92439758,,CONDO,"$334,900",244 Biscayne Blvd APT 645,Miami,FL,33132,1,2,978, ,
https://www.zillow.com/homedetails/8394-SW-154th-Ave-APT-43-Miami-FL-33193/44265134_zpid/,44265134,,TOWNHOUSE,"$375,000",8394 SW 154th Ave APT 43,Miami,FL,33193,2,3,1450, ,2429
https://www.zillow.com/homedetails/1550-SW-89th-Ct-Miami-FL-33174/247700067_zpid/,247700067,,SINGLE FAMILY,"$1,100,000",1550 SW 89th Ct,Miami,FL,33174,4,3,2011,8258 sqft,
https://www.zillow.com/homedetails/1021-NW-3rd-St-APT-106-Miami-FL-33128/82062390_zpid/,82062390,,CONDO,"$119,900",1021 NW 3rd St APT 106,Miami,FL,33128,1,1,465, ,
