HOUSE URL,ZPID,HOME STATUS,HOUSE TYPE,PRICE($),STREET,CITY,STATE,ZIP CODE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,HOUSE SIZE (sqft),LOT SIZE,RENT ZESTIMATE
https://www.zillow.com/homedetails/1304-N-Ocean-Blvd-806-Myrtle-Beach-SC-29577/454223092_zpid/,454223092,,CONDO,"$185,000",1304 N Ocean Blvd. #806,Myrtle Beach,SC,29577,2,2,813, ,
https://www.zillow.com/homedetails/1715-Palmetto-Palm-Dr-Myrtle-Beach-SC-29579/262286067_zpid/,262286067,,SINGLE FAMILY,"$389,000",1715 Palmetto Palm Dr.,Myrtle Beach,SC,29579,4,2,1850,9147.6 sqft,2352
https://www.zillow.com/homedetails/9212-Goodwill-Ct-Myrtle-Beach-SC-29579/102986319_zpid/,102986319,,SINGLE FAMILY,"$475,000",9212 Goodwill Ct.,Myrtle Beach,SC,29579,4,3,2781,0.31 acres,2681
https://www.zillow.com/homedetails/108-Whaler-Harbour-Myrtle-Beach-SC-29577/11158016_zpid/,11158016,,SINGLE FAMILY,"$265,000",108 Whaler Harbour,Myrtle Beach,SC,29577,3,2,1263,0.27999999999999997 acres,1901
https://www.zillow.com/homedetails/238-Stonebrook-Dr-Myrtle-Beach-SC-29588/11156973_zpid/,11156973,,SINGLE FAMILY,"$199,900",238 Stonebrook Dr.,Myrtle Beach,SC,29588,3,2,1200,9583.2 sqft,1779
https://www.zillow.com/homedetails/204-Green-Lake-Dr-Myrtle-Beach-SC-29572/11129969_zpid/,11129969,,SINGLE FAMILY,"$1,199,900",204 Green Lake Dr.,Myrtle Beach,SC,29572,5,4,4286,0.5900000000000001 acres,3583
https://www.zillow.com/homedetails/1372-Tranquility-Ln-Myrtle-Beach-SC-29577/11159873_zpid/,11159873,,SINGLE FAMILY,"$275,000",1372 Tranquility Ln.,Myrtle Beach,SC,29577,3,2,1215,3484.8 sqft,1952
https://www.zillow.com/homedetails/156-Osprey-Cove-Loop-Myrtle-Beach-SC-29588/61475713_zpid/,61475713,,SINGLE FAMILY,"$265,000",156 Osprey Cove Loop,Myrtle Beach,SC,29588,3,2,1241,0.26 acres,1857
https://www.zillow.com/homedetails/203-Alyssum-Ct-Myrtle-Beach-SC-29579/61475152_zpid/,61475152,,SINGLE FAMILY,"$390,000",203 Alyssum Ct,Myrtle Beach,SC,29579,4,3,2314,0.38 acres,2600
https://www.zillow.com/homedetails/4821-Southgate-Pkwy-Myrtle-Beach-SC-29579/68972874_zpid/,68972874,,SINGLE FAMILY,"$299,900",4821 Southgate Pkwy.,Myrtle Beach,SC,29579,4,3,1850,8276.4 sqft,2295
https://www.zillow.com/homedetails/156-Hummingbird-Ct-Myrtle-Beach-SC-29579/11147406_zpid/,11147406,,SINGLE FAMILY,"$320,000",156 Hummingbird Ct.,Myrtle Beach,SC,29579,4,3,1877,0.37 acres,
