HOUSE URL,ZPID,HOME STATUS,HOUSE TYPE,PRICE($),STREET,CITY,STATE,ZIP CODE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,HOUSE SIZE (sqft),LOT SIZE,RENT ZESTIMATE
https://www.zillow.com/homedetails/7024-Poplar-Creek-Trce-Nashville-TN-37221/41189597_zpid/,41189597,,SINGLE FAMILY,"$465,000",7024 Poplar Creek Trce,Nashville,TN,37221,3,3,2223,0.27999999999999997 acres,
https://www.zillow.com/homedetails/4234-Lone-Oak-Rd-Nashville-TN-37215/41158059_zpid/,41158059,,TOWNHOUSE,"$525,000",4234 Lone Oak Rd,Nashville,TN,37215,2,3,1644,871.2 sqft,
https://www.zillow.com/homedetails/1907-Oakhill-Dr-Nashville-TN-37206/41104762_zpid/,41104762,,SINGLE FAMILY,"$1,049,900",1907 Oakhill Dr,Nashville,TN,37206,4,3,3294,0.36 acres,
https://www.zillow.com/homedetails/4948-Yorkshire-Rd-Nashville-TN-37211/41195291_zpid/,41195291,,SINGLE FAMILY,"$389,900",4948 Yorkshire Rd,Nashville,TN,37211,3,2,1338,9583.2 sqft,
https://www.zillow.com/homedetails/105-Westwood-Trce-Nashville-TN-37212/41130815_zpid/,41130815,,TOWNHOUSE,"$435,000",105 Westwood Trce,Nashville,TN,37212,2,3,1300,871.2 sqft,
https://www.zillow.com/homedetails/1003-Alice-St-B-Nashville-TN-37218/338552309_zpid/,338552309,,SINGLE FAMILY,"$695,000",1003 Alice St #B,Nashville,TN,37218,3,4,2982, ,
https://www.zillow.com/homedetails/2109-Brookview-Dr-Nashville-TN-37214/41106787_zpid/,41106787,,SINGLE FAMILY,"$575,000",2109 Brookview Dr,Nashville,TN,37214,4,3,2328,0.9099999999999999 acres,
https://www.zillow.com/homedetails/6720-Autumn-Oaks-Dr-Brentwood-TN-37027/55296081_zpid/,55296081,,SINGLE FAMILY,"$549,900",6720 Autumn Oaks Dr,Brentwood,TN,37027,4,2,2454,8712 sqft,
https://www.zillow.com/homedetails/3077-Casa-Dr-Nashville-TN-37214/41135884_zpid/,41135884,,SINGLE FAMILY,"$229,000",3077 Casa Dr,Nashville,TN,37214,2,1,913,6534 sqft,
https://www.zillow.com/homedetails/1406-Cardinal-Ave-Nashville-TN-37216/41077233_zpid/,41077233,,SINGLE FAMILY,"$599,900",1406 Cardinal Ave,Nashville,TN,37216,3,2,1484,8712 sqft,
https://www.zillow.com/homedetails/1115-Waggoner-Ct-W-Nashville-TN-37214/41135974_zpid/,41135974,,SINGLE FAMILY,"$239,900",1115 Waggoner Ct W,Nashville,TN,37214,2,2,1270,6969.6 sqft,
https://www.zillow.com/homedetails/4819-Whites-Creek-Pike-Whites-Creek-TN-37189/41052449_zpid/,41052449,,SINGLE FAMILY,"$400,000",4819 Whites Creek Pike,Whites Creek,TN,37189,3,2,1118,2.45 acres,
https://www.zillow.com/homedetails/1285-Lowes-Ln-LOT-2-Goodlettsville-TN-37072/2055780604_zpid/,2055780604,,SINGLE FAMILY,"$325,000",1285 Lowes Ln LOT 2,Goodlettsville,TN,37072,3,2,1250,0.76 acres,
https://www.zillow.com/homedetails/111-Lewis-St-Nashville-TN-37210/41117634_zpid/,41117634,,SINGLE FAMILY,"$250,000",111 Lewis St,Nashville,TN,37210,3,2,1426,4791.6 sqft,
https://www.zillow.com/homedetails/2707-Buchanan-St-Nashville-TN-37208/41096614_zpid/,41096614,,SINGLE FAMILY,"$375,000",2707 Buchanan St,Nashville,TN,37208,3,2,1408,8276.4 sqft,
https://www.zillow.com/homedetails/4100-Polk-Forest-Cir-Nashville-TN-37207/331675182_zpid/,331675182,,SINGLE FAMILY,"$220,000",4100 Polk Forest Cir,Nashville,TN,37207,3,2,1146,4791.6 sqft,
https://www.zillow.com/homedetails/6708-Autumnwood-Dr-Nashville-TN-37221/41189820_zpid/,41189820,,SINGLE FAMILY,"$599,900",6708 Autumnwood Dr,Nashville,TN,37221,4,2,2519,0.26 acres,
https://www.zillow.com/homedetails/1498-Woodmont-Blvd-Nashville-TN-37215/41145060_zpid/,41145060,,SINGLE FAMILY,"$950,000",1498 Woodmont Blvd,Nashville,TN,37215,4,3,2497,0.33999999999999997 acres,
https://www.zillow.com/homedetails/1308-Beech-Hollow-Dr-Nashville-TN-37211/108726549_zpid/,108726549,,SINGLE FAMILY,"$710,000",1308 Beech Hollow Dr,Nashville,TN,37211,4,3,3068,10454.4 sqft,
https://www.zillow.com/homedetails/3033-Summercrest-Trl-Antioch-TN-37013/67641831_zpid/,67641831,,SINGLE FAMILY,"$435,000",3033 Summercrest Trl,Antioch,TN,37013,4,3,2688,6534 sqft,
https://www.zillow.com/homedetails/3150-E-Lake-Dr-Nashville-TN-37214/41136658_zpid/,41136658,,SINGLE FAMILY,"$249,942",3150 E Lake Dr,Nashville,TN,37214,3,2,1116,5227.2 sqft,
https://www.zillow.com/homedetails/505-Singer-Dr-Madison-TN-37115/41059193_zpid/,41059193,,SINGLE FAMILY,"$372,500",505 Singer Dr,Madison,TN,37115,3,2,1475,7840.8 sqft,
https://www.zillow.com/homedetails/810-Lawrence-St-Old-Hickory-TN-37138/41061410_zpid/,41061410,,SINGLE FAMILY,"$525,000",810 Lawrence St,Old Hickory,TN,37138,4,3,1656,6969.6 sqft,
https://www.zillow.com/homedetails/3511-Woodmont-Ln-Nashville-TN-37215/41140788_zpid/,41140788,,SINGLE FAMILY,"$1,280,000",3511 Woodmont Ln,Nashville,TN,37215,4,2,2520,0.5599999999999999 acres,
