HOUSE URL,ZPID,HOME STATUS,HOUSE TYPE,PRICE($),STREET,CITY,STATE,ZIP CODE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,HOUSE SIZE (sqft),LOT SIZE,RENT ZESTIMATE
https://www.zillow.com/homedetails/15808-Mission-Rdg-San-Antonio-TX-78232/26444587_zpid/,26444587,,SINGLE FAMILY,"$470,000",15808 Mission Ridge,San Antonio,TX,78232,4,4,3421,8450.64 sqft,3168
https://www.zillow.com/homedetails/4611-Aspen-Vw-San-Antonio-TX-78217/26341856_zpid/,26341856,,SINGLE FAMILY,"$289,900",4611 Aspen,San Antonio,TX,78217,3,3,2080,5009.4 sqft,2109
https://www.zillow.com/homedetails/1160-Hedgestone-Dr-San-Antonio-TX-78258/26473194_zpid/,26473194,,SINGLE FAMILY,"$415,000",1160 Hedgestone,San Antonio,TX,78258,4,3,2072,8668.44 sqft,2427
https://www.zillow.com/homedetails/118-Marquette-Dr-San-Antonio-TX-78228/26260901_zpid/,26260901,,SINGLE FAMILY,"$185,000",118 Marquette Dr,San Antonio,TX,78228,4,3,1808,0.28500000000000003 acres,2208
https://www.zillow.com/homedetails/248-E-Summit-Ave-San-Antonio-TX-78212/26221590_zpid/,26221590,,SINGLE FAMILY,"$1,185,000",248 E SUMMIT AVE,San Antonio,TX,78212,5,5,4776,0.31 acres,4859
https://www.zillow.com/homedetails/8003-Santa-Catalina-San-Antonio-TX-78250/63727552_zpid/,63727552,,SINGLE FAMILY,"$169,998",8003 Santa Catalina,San Antonio,TX,78250,3,2,1236,4051.08 sqft,1641
https://www.zillow.com/homedetails/1019-Mineral-Hls-San-Antonio-TX-78260/80023323_zpid/,80023323,,SINGLE FAMILY,"$365,000",1019 Mineral Hills,San Antonio,TX,78260,4,3,2182,0.3 acres,2536
https://www.zillow.com/homedetails/9302-Valley-Hedge-San-Antonio-TX-78250/26456765_zpid/,26456765,,SINGLE FAMILY,"$274,999",9302 Valley Hedge,San Antonio,TX,78250,4,3,1443,7056.72 sqft,1736
https://www.zillow.com/homedetails/12902-Esplanade-St-San-Antonio-TX-78233/26376852_zpid/,26376852,,SINGLE FAMILY,"$199,900",12902 Esplanade,San Antonio,TX,78233,4,2,1742,8232.84 sqft,1937
https://www.zillow.com/homedetails/7259-Sunlit-Trl-San-Antonio-TX-78244/447454418_zpid/,447454418,,SINGLE FAMILY,"$210,000",7259 Sunlit Trail,San Antonio,TX,78244,3,2,1268,6011.28 sqft,
https://www.zillow.com/homedetails/3114-Buttercup-Byu-San-Antonio-TX-78245/446027376_zpid/,446027376,,SINGLE FAMILY,"$225,000",3114 Buttercup,San Antonio,TX,78245,4,3,2043,4965.84 sqft,
https://www.zillow.com/homedetails/9502-Raton-Fls-San-Antonio-TX-78245/65093523_zpid/,65093523,,SINGLE FAMILY,"$189,900",9502 Raton Falls,San Antonio,TX,78245,4,3,2421,5445 sqft,
https://www.zillow.com/homedetails/4431-Hogg-San-Antonio-TX-78223/244678723_zpid/,244678723,,SINGLE FAMILY,"$275,000",4431 Hogg,San Antonio,TX,78223,3,3,2208,7034.94 sqft,
https://www.zillow.com/homedetails/7010-Aphrodite-Mist-San-Antonio-TX-78252/169432282_zpid/,169432282,,SINGLE FAMILY,"$274,999",7010 Aphrodite Mist,San Antonio,TX,78252,4,3,2316,5401.44 sqft,2131
https://www.zillow.com/homedetails/4310-Las-Cruces-St-San-Antonio-TX-78233/26347959_zpid/,26347959,,SINGLE FAMILY,"$270,000",4310 Las Cruces,San Antonio,TX,78233,3,2,1725,8799.12 sqft,1832
https://www.zillow.com/homedetails/2611-Circle-Tree-St-San-Antonio-TX-78247/26384514_zpid/,26384514,,SINGLE FAMILY,"$320,000",2611 Circle Tree,San Antonio,TX,78247,3,2,1644,7710.12 sqft,1961
https://www.zillow.com/homedetails/1326-Crow-Ct-San-Antonio-TX-78245/122501924_zpid/,122501924,,SINGLE FAMILY,"$265,000",1326 Crow Ct,San Antonio,TX,78245,3,2,1703,5401.44 sqft,1963
https://www.zillow.com/homedetails/926-Steubing-Oaks-San-Antonio-TX-78258/69656491_zpid/,69656491,,SINGLE FAMILY,"$765,000",926 STEUBING OAKS,San Antonio,TX,78258,4,4,3441,0.34500000000000003 acres,4070
https://www.zillow.com/homedetails/11754-Belicena-Rd-San-Antonio-TX-78253/80038958_zpid/,80038958,,SINGLE FAMILY,"$389,950",11754 Belicena,San Antonio,TX,78253,3,3,2889,6621.12 sqft,2512
https://www.zillow.com/homedetails/3371-W-Woodlawn-Ave-San-Antonio-TX-78228/26289259_zpid/,26289259,,SINGLE FAMILY,"$162,000",3371 W Woodlawn,San Antonio,TX,78228,4,1,1996,1.407 acres,2369
