HOUSE URL,ZPID,HOME STATUS,HOUSE TYPE,PRICE($),STREET,CITY,STATE,ZIP CODE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,HOUSE SIZE (sqft),LOT SIZE,RENT ZESTIMATE
https://www.zillow.com/homedetails/6215-N-44th-St-Tampa-FL-33610/44935536_zpid/,44935536,,SINGLE FAMILY,"$329,900",6215 N 44th St,Tampa,FL,33610,3,2,1238,6090 sqft,2772
https://www.zillow.com/homedetails/2227-S-Village-Ave-Tampa-FL-33612/44905095_zpid/,44905095,,SINGLE FAMILY,"$399,900",2227 S Village Ave,Tampa,FL,33612,3,2,1276,7452 sqft,
https://www.zillow.com/homedetails/10609-Out-Island-Dr-Tampa-FL-33615/44869387_zpid/,44869387,,SINGLE FAMILY,$250K,10609 Out Island Dr,Tampa,FL,33615,4,2,1702,7035 sqft,2564
https://www.zillow.com/homedetails/3820-E-Lakeshore-Dr-Tampa-FL-33604/45081333_zpid/,45081333,,SINGLE FAMILY,"$285,000",3820 E Lakeshore Dr,Tampa,FL,33604,3,1,1145,6496 sqft,2002
https://www.zillow.com/homedetails/10713-N-Ojus-Dr-Tampa-FL-33617/45073643_zpid/,45073643,,SINGLE FAMILY,"$349,000",10713 N Ojus Dr,Tampa,FL,33617,3,2,1196,6000 sqft,
https://www.zillow.com/homedetails/5001-E-Whiteway-Dr-Tampa-FL-33617/2074640928_zpid/,2074640928,,SINGLE FAMILY,"$120,000",5001 E Whiteway Dr,Tampa,FL,33617,3,2,1184,6098.4 sqft,2177
https://www.zillow.com/homedetails/8215-N-12th-St-Tampa-FL-33604/45079422_zpid/,45079422,,SINGLE FAMILY,"$209,900",8215 N 12th St,Tampa,FL,33604,3,2,924,5000 sqft,
https://www.zillow.com/homedetails/2223-Gordon-St-Tampa-FL-33605/45110092_zpid/,45110092,,MULTI FAMILY,"$359,900",2223 Gordon St,Tampa,FL,33605,4,4,1593,4750 sqft,1999
https://www.zillow.com/homedetails/20110-Pond-Spring-Way-Tampa-FL-33647/82043428_zpid/,82043428,,SINGLE FAMILY,"$875,000",20110 Pond Spring Way,Tampa,FL,33647,5,4,3445,0.31049127640036733 acres,
https://www.zillow.com/homedetails/5108-N-Suwanee-Ave-Tampa-FL-33603/45092807_zpid/,45092807,,SINGLE FAMILY,"$375,000",5108 N Suwanee Ave,Tampa,FL,33603,3,2,1461,8052 sqft,
